Aircraft_ID,Tail_Number,Model,Manufacturer,Total_Seats,Year_In_Service
AC-001,HZ-AK01,A350-900,Airbus,300,2021
AC-002,HZ-AK02,B737-MAX,Boeing,172,2018
AC-003,HZ-AK03,B777-300ER,Boeing,396,2022
AC-004,HZ-AK04,B787-9,Boeing,290,2019
AC-005,HZ-AK05,A320neo,Airbus,180,2021
AC-006,HZ-AK06,A350-900,Airbus,300,2024
AC-007,HZ-AK07,B737-MAX,Boeing,172,2017
AC-008,HZ-AK08,B777-300ER,Boeing,396,2021
AC-009,HZ-AK09,B787-9,Boeing,290,2022
AC-010,HZ-AK10,A320neo,Airbus,180,2019
AC-011,HZ-AK11,A350-900,Airbus,300,2018
AC-012,HZ-AK12,B737-MAX,Boeing,172,2022
AC-013,HZ-AK13,B777-300ER,Boeing,396,2022
AC-014,HZ-AK14,B787-9,Boeing,290,2017
AC-015,HZ-AK15,A320neo,Airbus,180,2020
AC-016,HZ-AK16,A350-900,Airbus,300,2019
AC-017,HZ-AK17,B737-MAX,Boeing,172,2016
AC-018,HZ-AK18,B777-300ER,Boeing,396,2022
AC-019,HZ-AK19,B787-9,Boeing,290,2020
AC-020,HZ-AK20,A320neo,Airbus,180,2016
AC-021,HZ-AK21,A350-900,Airbus,300,2019
AC-022,HZ-AK22,B737-MAX,Boeing,172,2015
AC-023,HZ-AK23,B777-300ER,Boeing,396,2024
AC-024,HZ-AK24,B787-9,Boeing,290,2020
AC-025,HZ-AK25,A320neo,Airbus,180,2023
AC-026,HZ-AK26,A350-900,Airbus,300,2015
AC-027,HZ-AK27,B737-MAX,Boeing,172,2024
AC-028,HZ-AK28,B777-300ER,Boeing,396,2017
AC-029,HZ-AK29,B787-9,Boeing,290,2021
AC-030,HZ-AK30,A320neo,Airbus,180,2018
AC-031,HZ-AK31,A350-900,Airbus,300,2023
AC-032,HZ-AK32,B737-MAX,Boeing,172,2017
AC-033,HZ-AK33,B777-300ER,Boeing,396,2019
AC-034,HZ-AK34,B787-9,Boeing,290,2017
AC-035,HZ-AK35,A320neo,Airbus,180,2021
AC-036,HZ-AK36,A350-900,Airbus,300,2019
AC-037,HZ-AK37,B737-MAX,Boeing,172,2023
AC-038,HZ-AK38,B777-300ER,Boeing,396,2021
AC-039,HZ-AK39,B787-9,Boeing,290,2016
AC-040,HZ-AK40,A320neo,Airbus,180,2018
AC-041,HZ-AK41,A350-900,Airbus,300,2023
AC-042,HZ-AK42,B737-MAX,Boeing,172,2016
AC-043,HZ-AK43,B777-300ER,Boeing,396,2024
AC-044,HZ-AK44,B787-9,Boeing,290,2023
AC-045,HZ-AK45,A320neo,Airbus,180,2024
AC-046,HZ-AK46,A350-900,Airbus,300,2019
AC-047,HZ-AK47,B737-MAX,Boeing,172,2016
AC-048,HZ-AK48,B777-300ER,Boeing,396,2018
AC-049,HZ-AK49,B787-9,Boeing,290,2021
AC-050,HZ-AK50,A320neo,Airbus,180,2022
