Delay_ID,Flight_ID,Delay_Reason,Delay_Minutes
DEL-000001,FL-000009,Weather,127
DEL-000002,FL-000011,Security,27
DEL-000003,FL-000016,Air Traffic Control,44
DEL-000004,FL-000017,Maintenance,48
DEL-000005,FL-000020,Maintenance,27
DEL-000006,FL-000022,Air Traffic Control,24
DEL-000007,FL-000029,Late Aircraft Arrival,72
DEL-000008,FL-000032,Late Aircraft Arrival,106
DEL-000009,FL-000039,Maintenance,18
DEL-000010,FL-000041,Weather,154
DEL-000011,FL-000043,Late Aircraft Arrival,44
DEL-000012,FL-000044,Late Aircraft Arrival,105
DEL-000013,FL-000047,Air Traffic Control,24
DEL-000014,FL-000049,Weather,121
DEL-000015,FL-000050,Security,84
DEL-000016,FL-000056,Late Aircraft Arrival,34
DEL-000017,FL-000061,Weather,116
DEL-000018,FL-000062,Air Traffic Control,68
DEL-000019,FL-000067,Air Traffic Control,19
DEL-000020,FL-000071,Late Aircraft Arrival,83
DEL-000021,FL-000073,Air Traffic Control,71
DEL-000022,FL-000080,Late Aircraft Arrival,26
DEL-000023,FL-000089,Air Traffic Control,24
DEL-000024,FL-000093,Maintenance,27
DEL-000025,FL-000100,Maintenance,37
DEL-000026,FL-000107,Late Aircraft Arrival,123
DEL-000027,FL-000112,Air Traffic Control,64
DEL-000028,FL-000116,Weather,36
DEL-000029,FL-000122,Late Aircraft Arrival,24
DEL-000030,FL-000124,Security,48
DEL-000031,FL-000133,Air Traffic Control,23
DEL-000032,FL-000134,Late Aircraft Arrival,58
DEL-000033,FL-000136,Late Aircraft Arrival,73
DEL-000034,FL-000141,Air Traffic Control,34
DEL-000035,FL-000142,Air Traffic Control,50
DEL-000036,FL-000146,Air Traffic Control,64
DEL-000037,FL-000152,Weather,72
DEL-000038,FL-000153,Air Traffic Control,84
DEL-000039,FL-000163,Late Aircraft Arrival,67
DEL-000040,FL-000164,Air Traffic Control,70
DEL-000041,FL-000168,Air Traffic Control,84
DEL-000042,FL-000169,Late Aircraft Arrival,15
DEL-000043,FL-000170,Security,170
DEL-000044,FL-000174,Maintenance,50
DEL-000045,FL-000175,Maintenance,30
DEL-000046,FL-000180,Late Aircraft Arrival,32
DEL-000047,FL-000181,Security,77
DEL-000048,FL-000182,Maintenance,19
DEL-000049,FL-000184,Late Aircraft Arrival,94
DEL-000050,FL-000189,Air Traffic Control,60
DEL-000051,FL-000195,Weather,19
DEL-000052,FL-000199,Late Aircraft Arrival,66
DEL-000053,FL-000200,Late Aircraft Arrival,46
DEL-000054,FL-000204,Maintenance,23
DEL-000055,FL-000205,Security,79
DEL-000056,FL-000207,Late Aircraft Arrival,89
DEL-000057,FL-000213,Weather,34
DEL-000058,FL-000215,Air Traffic Control,21
DEL-000059,FL-000227,Air Traffic Control,56
DEL-000060,FL-000233,Air Traffic Control,16
DEL-000061,FL-000235,Maintenance,69
DEL-000062,FL-000238,Weather,135
DEL-000063,FL-000241,Weather,107
DEL-000064,FL-000242,Weather,86
DEL-000065,FL-000243,Air Traffic Control,38
