Flight_ID,Flight_Number,Origin_Airport,Destination_Airport,Aircraft_ID,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Flight_Status,Distance_KM,Delay_Minutes
FL-000001,SV-134,JFK,DXB,AC-030,2024-03-19 12:22:00,2024-03-19 12:34:00,2024-03-19 21:36:00,2024-03-19 21:48:00,On-Time,6657,12
FL-000002,SV-305,JFK,RUH,AC-009,2025-05-12 21:20:00,2025-05-12 21:20:00,2025-05-13 04:15:00,2025-05-13 04:06:00,On-Time,4980,0
FL-000003,SV-180,JED,DXB,AC-043,2025-11-22 14:54:00,,2025-11-22 21:38:00,,Cancelled,4854,0
FL-000004,SV-661,DMM,JFK,AC-012,2025-04-11 15:24:00,2025-04-11 15:32:00,2025-04-12 01:06:00,2025-04-12 01:14:00,On-Time,6995,8
FL-000005,SV-971,CDG,DXB,AC-045,2025-06-29 14:52:00,2025-06-29 14:56:00,2025-06-29 23:18:00,2025-06-29 23:22:00,On-Time,6074,4
FL-000006,SV-487,DMM,JED,AC-026,2024-12-10 03:03:00,2024-12-10 03:13:00,2024-12-10 06:00:00,2024-12-10 06:10:00,On-Time,2132,10
FL-000007,SV-101,JFK,CDG,AC-008,2024-02-17 18:13:00,2024-02-17 18:26:00,2024-02-18 01:30:00,2024-02-18 01:43:00,On-Time,5245,13
FL-000008,SV-489,CDG,JFK,AC-019,2025-11-19 09:01:00,2025-11-19 09:01:00,2025-11-19 18:40:00,2025-11-19 18:30:00,On-Time,6954,0
FL-000009,SV-665,JED,LHR,AC-033,2024-07-26 23:30:00,2024-07-27 01:37:00,2024-07-27 07:48:00,2024-07-27 09:55:00,Delayed,5983,127
FL-000010,SV-205,DMM,IST,AC-004,2024-03-01 06:34:00,2024-03-01 06:42:00,2024-03-01 07:21:00,2024-03-01 07:29:00,On-Time,566,8
FL-000011,SV-871,DXB,JFK,AC-012,2024-09-14 19:12:00,2024-09-14 19:39:00,2024-09-14 19:52:00,2024-09-14 20:19:00,Delayed,487,27
FL-000012,SV-921,JFK,JED,AC-008,2025-01-04 11:42:00,2025-01-04 11:42:00,2025-01-04 12:42:00,2025-01-04 12:33:00,On-Time,725,0
FL-000013,SV-576,IST,JED,AC-046,2025-07-30 12:45:00,2025-07-30 12:59:00,2025-07-30 14:22:00,2025-07-30 14:36:00,On-Time,1167,14
FL-000014,SV-802,RUH,CDG,AC-005,2025-07-28 18:19:00,2025-07-28 18:19:00,2025-07-29 02:16:00,2025-07-29 02:14:00,On-Time,5733,0
FL-000015,SV-501,RUH,LHR,AC-032,2024-08-30 16:55:00,2024-08-30 16:57:00,2024-08-31 00:25:00,2024-08-31 00:27:00,On-Time,5402,2
FL-000016,SV-829,DXB,CDG,AC-005,2025-02-09 12:07:00,2025-02-09 12:51:00,2025-02-09 16:51:00,2025-02-09 17:35:00,Delayed,3417,44
FL-000017,SV-655,LHR,DXB,AC-002,2024-08-19 05:08:00,2024-08-19 05:56:00,2024-08-19 08:29:00,2024-08-19 09:17:00,Delayed,2418,48
FL-000018,SV-261,LHR,JED,AC-005,2025-07-26 02:53:00,2025-07-26 02:53:00,2025-07-26 10:00:00,2025-07-26 09:50:00,On-Time,5131,0
FL-000019,SV-301,LHR,DXB,AC-023,2024-02-03 10:36:00,2024-02-03 10:36:00,2024-02-03 19:26:00,2024-02-03 19:18:00,On-Time,6364,0
FL-000020,SV-369,DMM,RUH,AC-005,2024-08-25 19:04:00,2024-08-25 19:31:00,2024-08-26 00:39:00,2024-08-26 01:06:00,Delayed,4020,27
FL-000021,SV-962,CDG,JFK,AC-017,2025-11-27 01:50:00,2025-11-27 01:50:00,2025-11-27 08:01:00,2025-11-27 07:58:00,On-Time,4455,0
FL-000022,SV-915,DXB,JED,AC-038,2025-06-25 21:04:00,2025-06-25 21:28:00,2025-06-26 03:27:00,2025-06-26 03:51:00,Delayed,4599,24
FL-000023,SV-370,IST,DMM,AC-049,2024-11-05 08:26:00,2024-11-05 08:34:00,2024-11-05 12:40:00,2024-11-05 12:48:00,On-Time,3056,8
FL-000024,SV-555,RUH,DMM,AC-010,2025-12-14 08:26:00,2025-12-14 08:33:00,2025-12-14 13:31:00,2025-12-14 13:38:00,On-Time,3665,7
FL-000025,SV-561,RUH,LHR,AC-006,2024-01-31 15:05:00,,2024-02-01 00:20:00,,Cancelled,6664,0
FL-000026,SV-826,IST,DMM,AC-021,2024-05-03 16:51:00,2024-05-03 16:51:00,2024-05-03 21:19:00,2024-05-03 21:12:00,On-Time,3222,0
FL-000027,SV-351,DMM,JFK,AC-016,2025-09-01 06:07:00,2025-09-01 06:07:00,2025-09-01 09:14:00,2025-09-01 09:08:00,On-Time,2249,0
FL-000028,SV-801,RUH,LHR,AC-031,2025-10-28 14:14:00,2025-10-28 14:15:00,2025-10-28 16:18:00,2025-10-28 16:19:00,On-Time,1492,1
FL-000029,SV-395,RUH,IST,AC-040,2025-07-25 22:36:00,2025-07-25 23:48:00,2025-07-26 04:03:00,2025-07-26 05:15:00,Delayed,3931,72
FL-000030,SV-824,JFK,IST,AC-041,2025-11-26 05:33:00,2025-11-26 05:41:00,2025-11-26 13:29:00,2025-11-26 13:37:00,On-Time,5723,8
