Ticket_ID,Flight_ID,Passenger_ID,Class,Fare_Amount_USD,Booking_Date
TK-0000001,FL-029040,PA-013346,Business,1476.99,2025-02-15
TK-0000002,FL-055554,PA-020090,Economy,700.52,2024-09-11
TK-0000003,FL-036365,PA-024228,Business,2019.62,2025-09-27
TK-0000004,FL-085821,PA-023991,Economy,629.25,2024-04-27
TK-0000005,FL-078276,PA-005698,Economy,489.3,2024-01-27
TK-0000006,FL-050046,PA-003264,Economy,692.04,2024-01-20
TK-0000007,FL-063883,PA-023773,Economy,847.97,2024-02-28
TK-0000008,FL-086362,PA-001490,Economy,748.43,2025-01-28
TK-0000009,FL-075779,PA-001366,Business,2538.08,2024-06-03
TK-0000010,FL-095412,PA-004352,Economy,370.29,2024-06-17
TK-0000011,FL-023229,PA-006861,Business,750.65,2025-12-17
TK-0000012,FL-031241,PA-016512,Economy,286.2,2025-05-09
TK-0000013,FL-052796,PA-016096,Business,2298.34,2024-02-17
TK-0000014,FL-053041,PA-007835,Economy,795.63,2024-10-18
TK-0000015,FL-031404,PA-019448,Economy,547.57,2025-11-14
TK-0000016,FL-025060,PA-018437,Economy,263.18,2025-10-10
TK-0000017,FL-026171,PA-022368,Economy,344.26,2024-02-16
TK-0000018,FL-079898,PA-007615,Economy,282.85,2025-11-10
TK-0000019,FL-070232,PA-006135,Economy,597.76,2025-07-10
TK-0000020,FL-051788,PA-017239,Business,1848.08,2024-04-14
TK-0000021,FL-046554,PA-018079,Economy,748.2,2025-11-15
TK-0000022,FL-059510,PA-009974,Economy,597.36,2023-11-16
TK-0000023,FL-077288,PA-007785,Economy,557.1,2024-01-08
TK-0000024,FL-094663,PA-014495,Economy,707.78,2025-04-23
TK-0000025,FL-068734,PA-021970,Economy,648.69,2025-05-22
TK-0000026,FL-036546,PA-004728,Economy,223.54,2024-11-01
TK-0000027,FL-019874,PA-005358,Economy,891.8,2025-10-11
TK-0000028,FL-076423,PA-006584,Economy,354.24,2025-09-25
TK-0000029,FL-056257,PA-019960,Economy,778.8,2025-06-26
TK-0000030,FL-042133,PA-004078,Business,1800.54,2023-12-30
TK-0000031,FL-098810,PA-020275,Economy,458.8,2024-07-12
TK-0000032,FL-036442,PA-013411,Business,2345.68,2025-08-15
TK-0000033,FL-085748,PA-008288,Economy,780.72,2025-09-05
TK-0000034,FL-087979,PA-007059,Economy,741.12,2025-06-09
TK-0000035,FL-032708,PA-022616,Economy,270.77,2025-03-07
TK-0000036,FL-017671,PA-000074,Economy,432.28,2025-10-11
TK-0000037,FL-068513,PA-000439,Business,507.82,2025-10-01
TK-0000038,FL-044463,PA-023802,Economy,873.64,2025-04-13
TK-0000039,FL-049468,PA-017018,Economy,760.33,2024-05-30
TK-0000040,FL-028458,PA-021993,Economy,801.18,2024-03-30
TK-0000041,FL-085372,PA-018973,Economy,136.24,2024-04-20
TK-0000042,FL-049873,PA-019393,Economy,617.38,2024-08-11
TK-0000043,FL-019925,PA-014226,Economy,175.25,2024-05-09
TK-0000044,FL-004422,PA-017247,Economy,410.28,2025-01-13
TK-0000045,FL-031279,PA-018882,Economy,195.25,2024-10-06
TK-0000046,FL-084276,PA-019856,Economy,441.31,2024-08-24
TK-0000047,FL-056181,PA-024189,Business,701.69,2024-10-23
TK-0000048,FL-005446,PA-011550,Economy,189.06,2024-08-10
TK-0000049,FL-061389,PA-010838,Economy,172.31,2024-04-15
TK-0000050,FL-025729,PA-009548,First,1275.81,2025-05-07
TK-0000051,FL-075515,PA-018841,Economy,427.61,2024-08-27
TK-0000052,FL-049061,PA-018864,Economy,453.66,2023-12-18
TK-0000053,FL-086557,PA-000498,Economy,669.04,2024-06-26
