Weather_ID,Airport_Code,Date,Temperature_C,Wind_Speed_Kts,Visibility_KM,Condition
WX-0000001,JED,2024-01-01,21,13,9.4,Clear
WX-0000002,JED,2024-01-02,12,10,8.3,Clear
WX-0000003,JED,2024-01-03,20,10,8.7,Clear
WX-0000004,JED,2024-01-04,30,7,8.9,Clear
WX-0000005,JED,2024-01-05,17,5,9.3,Cloudy
WX-0000006,JED,2024-01-06,36,7,8.3,Clear
WX-0000007,JED,2024-01-07,20,10,9.0,Clear
WX-0000008,JED,2024-01-08,16,13,9.9,Clear
WX-0000009,JED,2024-01-09,39,5,1.4,Fog
WX-0000010,JED,2024-01-10,30,13,1.0,Fog
WX-0000011,JED,2024-01-11,28,3,8.9,Cloudy
WX-0000012,JED,2024-01-12,19,12,8.5,Clear
WX-0000013,JED,2024-01-13,27,13,8.6,Clear
WX-0000014,JED,2024-01-14,15,12,9.6,Clear
WX-0000015,JED,2024-01-15,27,6,8.4,Clear
WX-0000016,JED,2024-01-16,38,2,9.3,Clear
WX-0000017,JED,2024-01-17,12,8,9.6,Clear
WX-0000018,JED,2024-01-18,24,6,8.4,Clear
WX-0000019,JED,2024-01-19,27,11,9.8,Clear
WX-0000020,JED,2024-01-20,37,10,8.0,Clear
WX-0000021,JED,2024-01-21,35,40,3.6,Storm
WX-0000022,JED,2024-01-22,16,7,9.6,Rain
WX-0000023,JED,2024-01-23,25,12,9.9,Clear
WX-0000024,JED,2024-01-24,32,2,8.5,Clear
WX-0000025,JED,2024-01-25,18,42,8.2,Rain
WX-0000026,JED,2024-01-26,12,14,8.7,Clear
WX-0000027,JED,2024-01-27,39,6,8.1,Clear
WX-0000028,JED,2024-01-28,17,8,2.0,Fog
WX-0000029,JED,2024-01-29,24,10,8.3,Clear
WX-0000030,JED,2024-01-30,35,7,9.6,Cloudy
WX-0000031,JED,2024-01-31,21,3,8.3,Clear
WX-0000032,JED,2024-02-01,19,3,2.0,Fog
WX-0000033,JED,2024-02-02,28,7,9.9,Cloudy
WX-0000034,JED,2024-02-03,30,20,1.9,Storm
WX-0000035,JED,2024-02-04,22,8,9.6,Clear
WX-0000036,JED,2024-02-05,17,9,9.5,Clear
WX-0000037,JED,2024-02-06,19,9,9.2,Clear
WX-0000038,JED,2024-02-07,14,4,9.3,Clear
WX-0000039,JED,2024-02-08,37,8,8.5,Clear
WX-0000040,JED,2024-02-09,29,6,8.4,Cloudy
WX-0000041,JED,2024-02-10,30,13,3.9,Fog
WX-0000042,JED,2024-02-11,10,5,8.5,Cloudy
WX-0000043,JED,2024-02-12,29,13,8.7,Cloudy
WX-0000044,JED,2024-02-13,41,25,1.4,Storm
WX-0000045,JED,2024-02-14,30,2,8.5,Clear
WX-0000046,JED,2024-02-15,37,9,8.9,Cloudy
WX-0000047,JED,2024-02-16,35,33,2.7,Storm
WX-0000048,JED,2024-02-17,20,37,9.2,Rain
WX-0000049,JED,2024-02-18,18,6,9.8,Cloudy
WX-0000050,JED,2024-02-19,29,10,8.6,Clear
WX-0000051,JED,2024-02-20,17,13,9.0,Cloudy
WX-0000052,JED,2024-02-21,25,9,8.1,Clear
WX-0000053,JED,2024-02-22,22,5,8.5,Rain
WX-0000054,JED,2024-02-23,38,24,2.2,Storm
WX-0000055,JED,2024-02-24,27,14,8.6,Clear
WX-0000056,JED,2024-02-25,36,12,8.4,Clear
WX-0000057,JED,2024-02-26,40,3,9.5,Clear
WX-0000058,JED,2024-02-27,28,13,9.7,Cloudy
WX-0000059,JED,2024-02-28,10,13,9.1,Clear
WX-0000060,JED,2024-02-29,40,8,9.0,Clear
WX-0000061,JED,2024-03-01,28,25,8.1,Rain
WX-0000062,JED,2024-03-02,20,7,9.9,Cloudy
WX-0000063,JED,2024-03-03,15,31,9.3,Rain
WX-0000064,JED,2024-03-04,19,12,9.6,Cloudy
WX-0000065,JED,2024-03-05,19,41,8.5,Rain
WX-0000066,JED,2024-03-06,38,12,9.9,Clear
WX-0000067,JED,2024-03-07,24,13,9.5,Clear
WX-0000068,JED,2024-03-08,13,20,8.1,Rain
WX-0000069,JED,2024-03-09,16,8,8.4,Cloudy
WX-0000070,JED,2024-03-10,17,9,8.7,Clear
WX-0000071,JED,2024-03-11,33,31,9.7,Rain
WX-0000072,JED,2024-03-12,14,7,9.7,Clear
WX-0000073,JED,2024-03-13,20,7,9.5,Clear
WX-0000074,JED,2024-03-14,22,8,8.1,Cloudy
WX-0000075,JED,2024-03-15,17,14,8.9,Clear
WX-0000076,JED,2024-03-16,29,3,9.7,Clear
WX-0000077,JED,2024-03-17,39,6,1.8,Fog
WX-0000078,JED,2024-03-18,27,9,9.4,Cloudy
WX-0000079,JED,2024-03-19,20,39,8.7,Rain
WX-0000080,JED,2024-03-20,21,10,8.5,Clear
WX-0000081,JED,2024-03-21,37,3,8.1,Clear
WX-0000082,JED,2024-03-22,18,14,9.3,Cloudy
WX-0000083,JED,2024-03-23,24,31,8.5,Rain
WX-0000084,JED,2024-03-24,17,13,9.0,Clear
WX-0000085,JED,2024-03-25,13,7,8.6,Clear
WX-0000086,JED,2024-03-26,33,3,8.0,Clear
WX-0000087,JED,2024-03-27,34,25,3.3,Storm
WX-0000088,JED,2024-03-28,38,11,9.8,Clear
WX-0000089,JED,2024-03-29,30,3,2.8,Fog
WX-0000090,JED,2024-03-30,41,34,9.2,Rain
WX-0000091,JED,2024-03-31,12,12,8.8,Clear
WX-0000092,JED,2024-04-01,28,14,8.4,Clear
WX-0000093,JED,2024-04-02,34,5,9.0,Cloudy
WX-0000094,JED,2024-04-03,39,24,8.0,Rain
WX-0000095,JED,2024-04-04,16,2,8.3,Cloudy
WX-0000096,JED,2024-04-05,15,6,8.6,Clear
WX-0000097,JED,2024-04-06,19,9,3.6,Fog
WX-0000098,JED,2024-04-07,28,6,8.1,Cloudy
WX-0000099,JED,2024-04-08,23,10,9.2,Clear
WX-0000100,JED,2024-04-09,33,4,8.5,Clear
WX-0000101,JED,2024-04-10,41,4,8.8,Clear
WX-0000102,JED,2024-04-11,16,7,8.7,Clear
WX-0000103,JED,2024-04-12,22,12,8.6,Clear
WX-0000104,JED,2024-04-13,16,6,9.5,Clear
WX-0000105,JED,2024-04-14,25,32,10.0,Rain
WX-0000106,JED,2024-04-15,41,13,8.4,Cloudy
WX-0000107,JED,2024-04-16,26,7,9.8,Clear
WX-0000108,JED,2024-04-17,38,8,9.1,Clear
WX-0000109,JED,2024-04-18,15,3,8.5,Clear
WX-0000110,JED,2024-04-19,22,5,9.9,Clear
WX-0000111,JED,2024-04-20,39,9,9.6,Clear
WX-0000112,JED,2024-04-21,15,2,8.6,Clear
WX-0000113,JED,2024-04-22,16,16,8.6,Rain
WX-0000114,JED,2024-04-23,12,11,1.2,Fog
